                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.87294,                0.51688,                0.99834,                      1,                0.99933,                  0.995,                0.71655,                 1.0824,                0.48698,                 1.0946,               0.003268,               0.003268,               0.003268
                     36,                0.85821,                0.51494,                0.99504,                      1,                0.99932,                  0.995,                0.71048,                  1.044,                0.46498,                 1.0766,                0.00307,                0.00307,                0.00307
                     37,                 0.8538,                0.51359,                0.99813,                      1,                0.99935,                  0.995,                 0.7405,                0.92446,                0.44165,                 1.0499,               0.002872,               0.002872,               0.002872
                     38,                0.85955,                0.50603,                 1.0059,                      1,                0.99985,                  0.995,                0.73124,                0.99281,                0.45101,                 1.0777,               0.002674,               0.002674,               0.002674
                     39,                0.84234,                 0.4961,                 1.0019,                      1,                0.99946,                  0.995,                0.73735,                0.97636,                0.47127,                  1.069,               0.002476,               0.002476,               0.002476
                     40,                0.77098,                0.45832,                0.95197,                      1,                0.99975,                  0.995,                0.69555,                 1.0522,                0.49592,                 1.1279,               0.002278,               0.002278,               0.002278
                     41,                0.77072,                0.45492,                0.95198,                0.99924,                      1,                  0.995,                0.73331,                0.95823,                0.44911,                 1.0662,                0.00208,                0.00208,                0.00208
                     42,                0.76261,                0.47586,                0.95855,                0.99919,                      1,                  0.995,                0.71636,                 1.0604,                0.47722,                 1.1375,               0.001882,               0.001882,               0.001882
                     43,                0.75693,                0.43734,                0.96099,                      1,                0.99267,                  0.995,                 0.7353,                 0.9781,                 0.4457,                  1.069,               0.001684,               0.001684,               0.001684
                     44,                0.73179,                0.42182,                0.94111,                0.99822,                      1,                  0.995,                 0.7214,                 1.0209,                 0.4374,                 1.0858,               0.001486,               0.001486,               0.001486
                     45,                0.72199,                0.42817,                 0.9347,                      1,                0.99956,                  0.995,                0.76113,                0.89455,                 0.4287,                  1.009,               0.001288,               0.001288,               0.001288
                     46,                0.70483,                0.42267,                0.92326,                0.99953,                      1,                  0.995,                0.73398,                0.99013,                 0.4339,                  1.046,                0.00109,                0.00109,                0.00109
                     47,                0.68358,                0.40221,                0.92485,                0.99961,                      1,                  0.995,                0.74635,                0.94415,                0.41565,                 1.0295,               0.000892,               0.000892,               0.000892
                     48,                0.66889,                0.39253,                0.92181,                0.99938,                      1,                  0.995,                0.72379,                 1.0449,                0.43374,                 1.0873,               0.000694,               0.000694,               0.000694
                     49,                0.66536,                0.39473,                0.90608,                0.99951,                      1,                  0.995,                0.74807,                0.94795,                0.41659,                 1.0399,               0.000496,               0.000496,               0.000496
